OriginInstruction,Instruction,Summary,Category,User story
"{""instruction"": ""which are rainbow colours violet red orange purple indigo pink blue black white yellow  green grey"", ""context"": """", ""response"": ""VIBGYOR - Violet Indigo Blue Green Yellow orange red"", ""category"": ""classification""}","Definition: In this task, identify which of the listed colors are part of the rainbow (rainbow colors). Review each color carefully and classify it as either a rainbow color or not. Emphasis & Caution: Rainbow colors are traditionally represented by the acronym ""VIBGYOR"" (Violet, Indigo, Blue, Green, Yellow, Orange, Red). Things to avoid: Avoid including colors that are not part of the traditional rainbow spectrum.",Identify colors that are part of the rainbow.,Commonsense Classification,"As an educator, I want to classify colors by whether they are part of the rainbow to teach students about the visible spectrum."
"{""instruction"": ""Classify each of the following as either titles by J.K. Rowling or Suzanne Collins: Harry Potter and the Sorcerer's Stone, The Ickabog, Fantastic Beasts and Where to Find Them, The Cuckoo's Calling, Harry Potter and the Order of the Phoenix, Catching Fire, Mockingjay, Gregor the Overlander, Year of the Jungle, The Ballad of Songbirds and Snakes"", ""context"": """", ""response"": ""J.K. Rowling: Harry Potter and the Sorcerer's Stone, The Ickabog, Fantastic Beasts and Where to Find Them, The Cuckoo's Calling, Harry Potter and the Order of the Phoenix\nSuzanne Collins: Catching Fire, Mockingjay, Gregor the Overlander, Year of the Jungle, The Ballad of Songbirds and Snakes"", ""category"": ""classification""}","Definition: In this task, classify each listed title as either written by J.K. Rowling or Suzanne Collins. Review each title carefully and assign it to the correct author. Emphasis & Caution: - Things to avoid: -",Classify each book title by author: J.K. Rowling or Suzanne Collins.,Commonsense Classification,"As a librarian, I want to classify each title by its author (J.K. Rowling or Suzanne Collins) to organize books by writer accurately."
"{""instruction"": ""Tell me which months have 30 days and which have 31 days, based on this list: January, February, March, April, May, June, July, August, September, October, November, and December."", ""context"": """", ""response"": ""Months that have 30 days are: April, June, September and November.\nMonths that have 31 days are: January, March, May, July, August, October and December."", ""category"": ""classification""}","Definition: In this task, classify each listed month by whether it has 30 or 31 days. Review each month carefully and assign it to the correct category based on the number of days. Emphasis & Caution: Exclude February, as it has either 28 or 29 days depending on the year. Things to avoid: -",Classify each month as having 30 or 31 days.,Commonsense Classification,"As a calendar organizer, I want to classify each month by the number of days (30 or 31) to ensure accurate scheduling and date planning."
"{""instruction"": ""Is it a gas, liquid, or solid"", ""context"": """", ""response"": ""Stone, Cloud, oxygen, water, hydrogen, dirt, nitrogen, brick, concrete, lava"", ""category"": ""classification""}","Definition: In this task, classify each listed item as either a gas, liquid, or solid. Review each item carefully and assign it to the appropriate state of matter. Emphasis & Caution: Consider the typical state of each item at room temperature and standard atmospheric conditions. Things to avoid: -","Classify each item as a gas, liquid, or solid.",Commonsense Classification,"As a science educator, I want to classify each item by its state of matter (gas, liquid, or solid) to teach students about physical states."
"{""instruction"": ""Tell me wether these are cities, or states? IL, chicago, Texas, Fremont, Washington, Washington DC, san jose, bay area"", ""context"": """", ""response"": ""Washington DC, Chicago, Freemont, San jose are cities, and IL, Texas, Washington are US states. Bay area is neither a state nor a city. It is referring to the area in northern CA which consists of multiple cities."", ""category"": ""classification""}","Definition: In this task, classify each listed name as either a city or a state. Review each name carefully and assign it to the correct category. Emphasis & Caution: Note that some terms may not fit strictly as a city or state (e.g., regional areas). Things to avoid: Avoid categorizing regional areas like ""Bay Area"" as a city or state.",Classify each item as either a city or a state.,Commonsense Classification,"As a geography cataloger, I want to classify each location as a city or state to improve geographic organization."
"{""instruction"": ""Identify which instrument is string or percussion: Sabar, Sharud"", ""context"": """", ""response"": ""Sharud is string, Sabar is percussion."", ""category"": ""classification""}","Definition: In this task, determine whether each listed instrument is a string or percussion instrument. Review each instrument carefully and assign it to the correct category. Emphasis & Caution: - Things to avoid: -",Classify each instrument as either string or percussion.,Commonsense Classification,"As a music cataloger, I want to classify each instrument as either string or percussion to accurately organize musical instruments by type."
"{""instruction"": ""Classify the cities based on whether they are located in Eritrea or Gabon.\nKeren, Franceville, Asmara, Port-Gentil, Assab, Libreville"", ""context"": """", ""response"": ""Eritrea - Asmara, Keren, Assab\nGabon - Libreville, Port-Gentil, Franceville"", ""category"": ""classification""}","Definition: In this task, classify each listed city based on whether it is located in Eritrea or Gabon. Review each city carefully and assign it to the correct country. Emphasis & Caution: - Things to avoid: -",Classify each city as located in either Eritrea or Gabon.,Commonsense Classification,"As a geography researcher, I want to classify each city by its country (Eritrea or Gabon) to improve the organization of geographic data."
"{""instruction"": ""Classify each of the following animals as being domesticated or wild: dog, bear, dolphin, cat, cow, hippo, rhino"", ""context"": """", ""response"": ""Dog: Domesticated\nBear: Wild\nDolphin: Wild\nCat: Domesticated\nCow: Domesticated\nHippo: Wild\nRhino: Wild"", ""category"": ""classification""}","Definition: In this task, classify each listed animal as either domesticated or wild. Review each animal carefully and assign it to the correct category. Emphasis & Caution: - Things to avoid: -",Classify each animal as domesticated or wild.,Commonsense Classification,"As a wildlife researcher, I want to classify each animal as either domesticated or wild to better organize information on animal behavior and habitats."
"{""instruction"": ""Tell me if these drinks are alcoholic or not: Coca-Cola, Mountain Dew, Budweiser, Rum, Vodka, Tomato Juice, Orange Juice, Sprite, Tequila, Margarita"", ""context"": """", ""response"": ""Budweiser, Rum, Vodka, Tequila and Margarita are alcoholic beverages"", ""category"": ""classification""}","Definition: In this task, classify each listed drink as either alcoholic or non-alcoholic. Review each drink carefully and assign it to the correct category. Emphasis & Caution: - Things to avoid: -",Classify each drink as alcoholic or non-alcoholic.,Commonsense Classification,"As a beverage cataloger, I want to classify each drink as either alcoholic or non-alcoholic to accurately organize beverage information by type."
"{""instruction"": ""Which of the companies in this list are social media platforms: Twitter, Amazon, Instagram, Square, Venmo, Tiktok, Apple."", ""context"": """", ""response"": ""In this list, Twitter, Instagram, and Tiktok are social media platforms."", ""category"": ""classification""}","Definition: In this task, identify which of the listed companies are social media platforms. Review each company carefully and classify it as either a social media platform or not. Emphasis & Caution: - Things to avoid: -",Identify companies that are social media platforms.,Commonsense Classification,"As a tech analyst, I want to classify each company as a social media platform or not to organize businesses by industry type."
"{""instruction"": ""Classify each of the following as \""heavy\"" or \""light\"": elephant, feather, hippo, paper, whale"", ""context"": """", ""response"": ""Elephant: Heavy\nFeather: Light\nHippo: Heavy\nPaper: Light\nWhale: Heavy"", ""category"": ""classification""}","Definition: In this task, classify each listed item as either ""heavy"" or ""light."" Review each item carefully and assign it to the correct category based on typical weight. Emphasis & Caution: - Things to avoid: -",Classify each item as heavy or light.,Commonsense Classification,"As an educator, I want to classify each item by weight (heavy or light) to illustrate differences in size and mass."
"{""instruction"": ""Classify the eight planets of Earth's solar system as rocky or gaseous, according to their primary composition."", ""context"": """", ""response"": ""Mercury - rocky\nVeuns - rocky\nEarth - rocky\nMars - rocky\nJupiter - gaseous\nSaturn - gaseous\nUranus - gaseous\nNeptune - gaseous"", ""category"": ""classification""}","Definition: In this task, classify each of the eight planets in Earth's solar system as either ""rocky"" or ""gaseous"" based on their primary composition. Review each planet carefully and assign it to the correct category. Emphasis & Caution: - Things to avoid: -",Classify each planet as either rocky or gaseous.,Commonsense Classification,"As an astronomy educator, I want to classify each planet by composition (rocky or gaseous) to explain the differences in planetary types within our solar system."
"{""instruction"": ""Identify which animal species is alive or extinct: Purussaurus, Albacore Tuna"", ""context"": """", ""response"": ""Albacore Tuna is alive, Purussaurus is extinct."", ""category"": ""classification""}","Definition: In this task, determine whether each listed animal species is currently alive or extinct. Review each species carefully and classify it as either ""alive"" or ""extinct."" Emphasis & Caution: - Things to avoid: -",Classify each animal species as alive or extinct.,Commonsense Classification,"As a biology researcher, I want to classify each species as alive or extinct to accurately document the conservation status of different animals."
"{""instruction"": ""Identify which instrument is string or woodwind: Domra, Xaphoon"", ""context"": """", ""response"": ""Xaphoon is woodwind, Domra is string."", ""category"": ""classification""}","Definition: In this task, determine whether each listed instrument is a string or woodwind instrument. Review each instrument carefully and classify it as either ""string"" or ""woodwind."" Emphasis & Caution: - Things to avoid: -",Classify each instrument as either string or woodwind.,Commonsense Classification,"As a music cataloger, I want to classify each instrument as either string or woodwind to organize musical instruments by type."
"{""instruction"": ""Classify each of the following whether they help or hurt vision: glasses, binoculars, blindfold, sleep mask, telescope"", ""context"": """", ""response"": ""Glasses: Help Vision\nBinoculars: Help Vision\nBlindfold: Hurt Vision\nSleep Mask: Hurt Vision\nTelescope: Help Vision"", ""category"": ""classification""}","Definition: In this task, classify each item based on whether it helps or hurts vision. Review each item carefully and assign it to the correct category. Emphasis & Caution: - Things to avoid: -",Classify each item as either helping or hurting vision.,Commonsense Classification,"As an educator, I want to classify each item by whether it helps or hurts vision to illustrate their effects on sight."
"{""instruction"": ""Tell me whether these are literary characters or fruits: Gandalf, banana, Frodo Baggins, Aragorn, orange, apple, Sauron"", ""context"": """", ""response"": ""Gandalf - literary character\nBanana - fruit\nFrodo Baggins - literary character\nAragorn  - literary character\norange - fruit\napple - fruit\nSauron - literary character"", ""category"": ""classification""}","Definition: In this task, classify each listed item as either a ""literary character"" or a ""fruit."" Review each item carefully and assign it to the correct category. Emphasis & Caution: - Things to avoid: -",Classify each item as either a literary character or a fruit.,Commonsense Classification,"As a literature and food cataloger, I want to classify each item by type (literary character or fruit) to organize information accurately across categories."
"{""instruction"": ""Classify the following by how they are affected by a strong permanent magnet as one of \""attract\"", \""repel\"", \""nothing\"": iron nail, paper clips, a tin can, a compass, a plastic cup, a glass window, a leather wallet, a brick, a magnet of opposite polarity, pyrolytic carbon sheet."", ""context"": """", ""response"": ""Items that are strongly or weakly attracted are called \""ferromagnetic\"" and \""paramagnetic\"", respectively. These include: iron nail, paper clips, a tin can, a compass.\nItems that are repelled by a magnet are either \""paramagnetic\"" or themselves permanent magnets of the opposite polarity, including: a magnet of opposite polarity, pyrolytic carbon sheet. Items that are not affected by a permanent magnet are called \""nonmagnetic\"" and include: a plastic cup, a glass window, a leather wallet, a brick."", ""category"": ""classification""}","Definition: In this task, classify each listed item based on its reaction to a strong permanent magnet as one of the following: ""attract,"" ""repel,"" or ""nothing."" Review each item carefully and assign it to the correct category based on how it typically interacts with a magnet. Emphasis & Caution: - Things to avoid: -","Classify each item by whether it is attracted, repelled, or unaffected by a strong magnet.",Commonsense Classification,"As a science educator, I want to classify each item by its magnetic response (attract, repel, or nothing) to demonstrate the magnetic properties of materials."
"{""instruction"": ""Identify which car manufacturer is Chinese or American: Dongfeng, Chrysler"", ""context"": """", ""response"": ""Chrysler is American, Dongfeng is Chinese"", ""category"": ""classification""}","Definition: In this task, determine whether each listed car manufacturer is Chinese or American. Review each manufacturer carefully and assign it to the correct country of origin. Emphasis & Caution: - Things to avoid: -",Classify each car manufacturer as either Chinese or American.,Commonsense Classification,"As a researcher, I want to classify each car manufacturer by its origin (Chinese or American) to organize automotive brands by nationality."
"{""instruction"": ""Tell me whether these are names of soft drinks or coffee: Starbucks, Peet's, Blue Bottle, Coca-Cola, Sprite, Canada Dry, Pepsi"", ""context"": """", ""response"": ""Starbucks is a brand of coffee\nPeet's is a brand of coffee\nBlue Bottle is a brand of coffee\nCoca-Cola is a soft drink\nSprite is a soft drink\nCanada Dry is a soft drink\nPepsi is a soft drink"", ""category"": ""classification""}","Definition: In this task, classify each listed brand as either a ""soft drink"" or ""coffee"" brand. Review each brand carefully and assign it to the correct category. Emphasis & Caution: - Things to avoid: -",Classify each brand as either a soft drink or coffee.,Commonsense Classification,"As a product cataloger, I want to classify each brand as either soft drink or coffee to organize beverage brands by type."
"{""instruction"": ""Classify each of the following as an American coffee shop chain or an American fast-food hamburger restaurant: Starbucks, Dunkin Donuts, McDonald's, In-N-Out, Dutch Bros, Coffee Bean & Tea Leaf, Burger King, Carl's Jr"", ""context"": """", ""response"": ""Coffee shop chain: Starbucks, Dunkin Donuts, Dutch Bros, Coffee Bean & Tea Leaf\nFast-food hamburger restaurant: McDonald's, In-N-Out, Burger King, Carl's Jr"", ""category"": ""classification""}","Definition: In this task, classify each listed brand as either an American coffee shop chain or an American fast-food hamburger restaurant. Review each brand carefully and assign it to the correct category. Emphasis & Caution: - Things to avoid: -",Classify each brand as a coffee shop chain or a fast-food hamburger restaurant.,Commonsense Classification,"As a brand researcher, I want to classify each brand as either a coffee shop chain or a fast-food hamburger restaurant to organize food and beverage businesses by type."
"{""instruction"": ""Tell me whether the following animals are part of the cat family: ocelot, lion, jackal, caracal, leopard, fox, tiger, lynx."", ""context"": """", ""response"": ""Ocelot, lion, caracal, leopard, tiger, lynx are all species that are part of the Felidae family (commonly known as cats). Jackals and foxes are part of the Canidae (or dog) family. While the two groups have physical similarities, they also have distinctive physical and behavioral differences."", ""category"": ""classification""}","Definition: In this task, classify each listed animal as either part of the cat family (Felidae) or not. Review each animal carefully and assign it to the correct category. Emphasis & Caution: - Things to avoid: -",Classify each animal as either part of the cat family or not.,Commonsense Classification,"As a zoology researcher, I want to classify each animal by whether it belongs to the cat family (Felidae) to organize information on animal families accurately."
"{""instruction"": ""Tell me which one of the following countries are in the European Union: The Netherlands, Switzerland, Germany, Finland, the United Kingdom, Italy, Luxembourg, Turkey, Australia, Vietnam, Canada."", ""context"": """", ""response"": ""The Netherlands, Germany, Finland, Italy and Luxembourg are in the European Union.\n\nRest of the countries: Switzerland, the United Kingdom, Turkey, Australia, Vietnam and Canada are not a part of the European Union but might have deals allowing them to benefit from the certain conveniences of the European Union such as free trade.\n\nFor example, while Switzerland has very close ties with European Union nations and has similar benefits, they are not a part of the EU. Switzerland enjoys benefits such as freedom of movement of people between the EU member states and Switzerland, this is due to a separate agreement: Agreement on the Free Movement of Persons (AFMP)."", ""category"": ""classification""}","Definition: In this task, identify which of the listed countries are members of the European Union (EU). Review each country carefully and classify it as either ""in the EU"" or ""not in the EU."" Emphasis & Caution: - Things to avoid: -",Classify each country as either in the European Union or not.,Commonsense Classification,"As a geography researcher, I want to classify each country by its membership in the European Union to provide accurate political and economic context."
"{""instruction"": ""Classify the following as types of birds or types of snakes: robin, cobra, rattlesnake, eagle, viper, raptor, bluejay, cottonmouth, copperhead, sparrow."", ""context"": """", ""response"": ""Robin, eagle, raptor, bluejay, and sparrow are all kinds of birds. Cobra, rattlesnake, viper, cottonmouth, and copperhead are several types of snakes."", ""category"": ""classification""}","Definition: In this task, classify each listed animal as either a type of bird or a type of snake. Review each name carefully and assign it to the correct category. Emphasis & Caution: - Things to avoid: -",Classify each animal as either a bird or a snake.,Commonsense Classification,"As a biology cataloger, I want to classify each animal as either a bird or a snake to organize information by animal type."
"{""instruction"": ""Tell me whether these cities are in Minnesota, Arizona or neither."", ""context"": """", ""response"": ""Duluth - Minnesota\nBisbee - Arizona\nBend - Neither\nSt Joseph - Minnesota\nWhy - Arizona\nGuaymas - Neither"", ""category"": ""classification""}","Definition: In this task, classify each listed city based on whether it is located in Minnesota, Arizona, or neither. Review each city carefully and assign it to the correct category. Emphasis & Caution: - Things to avoid: -","Classify each city as located in Minnesota, Arizona, or neither.",Commonsense Classification,"As a geography researcher, I want to classify each city by its location (Minnesota, Arizona, or neither) to improve the organization of geographic data."
"{""instruction"": ""Tell me whether these are part of the judicial, executive, or legislative branch of government: Supreme Court, President, House, Senate"", ""context"": """", ""response"": ""Supreme Court: Judicial\nPresident: Executive\nHouse: Legislative\nSenate: Legislative"", ""category"": ""classification""}","Definition: In this task, classify each listed entity as part of the judicial, executive, or legislative branch of government. Review each entity carefully and assign it to the correct branch. Emphasis & Caution: - Things to avoid: -","Classify each entity as part of the judicial, executive, or legislative branch.",Commonsense Classification,"As a civics educator, I want to classify each entity by government branch (judicial, executive, or legislative) to teach students about the structure of government."
"{""instruction"": ""Categorize the following countries based on the language their majority speaks: Iraq, Iran, Turkey, UAE, Qatar, Afghanistan, Syria"", ""context"": """", ""response"": ""Iran and Afghanistan are majority Farsi (or a variation of it) speaking. Turkey is the majority Turkish speaking. Majority of people in Iraq, UAE, Qatar, and Syria speak Arabic. Contrary to the generally held belief that Iran and Afghanistan are a Arabic speaking countries, they are not. Farsi is a totally different language."", ""category"": ""classification""}","Definition: In this task, categorize each listed country based on the primary language spoken by its majority population. Assign each country to its predominant language category. Emphasis & Caution: Note that some countries often assumed to be Arabic-speaking may actually have different majority languages (e.g., Farsi in Iran and Afghanistan). Things to avoid: Avoid misclassifying countries with non-Arabic majority languages as Arabic-speaking.",Classify each country by its majority language.,Commonsense Classification,"As a cultural researcher, I want to classify each country by its majority language so that I can improve understanding of regional linguistic diversity, while ensuring that countries with non-Arabic majority languages are not mistakenly categorized as Arabic-speaking."
"{""instruction"": ""What do The Matrix, Point Break, Constantine, and John Wick have in common?"", ""context"": """", ""response"": ""They are all Keanu Reeves movies."", ""category"": ""classification""}","Definition: In this task, identify the common characteristic shared by the listed movies. Review each movie title and determine the attribute they have in common. Emphasis & Caution: - Things to avoid: -",Identify the common feature shared by the movies.,Commonsense Classification,"As a movie cataloger, I want to identify the shared characteristic of these movies to group films with common actors or themes."
"{""instruction"": ""Classify each country as landlocked or not landlocked: China, Bolivia, Paraguay, Morocco, Ireland, Austria, Switzerland"", ""context"": """", ""response"": ""China: Not Landlocked\nBolivia: Landlocked\nParaguay: Landlocked\nMorocco: Not Landlocked\nIreland: Not Landlocked\nAustria: Landlocked\nSwitzerland: Landlocked"", ""category"": ""classification""}","Definition: In this task, classify each listed country as either ""landlocked"" or ""not landlocked."" Review each country carefully and assign it to the correct category based on whether it has access to a coastline. Emphasis & Caution: - Things to avoid: -",Classify each country as either landlocked or not landlocked.,Commonsense Classification,"As a geography researcher, I want to classify each country as either landlocked or not landlocked to organize information about countries’ access to coastlines."
"{""instruction"": ""Tell me if these vegetables are or are not green: carrot, courgette, bell pepper, radish, spaghetti squash, onion."", ""context"": """", ""response"": ""carrot - not green\ncourgette - green\nbell pepper - may be green\nradish - not green\nspaghetti squash - not green\nonion - may be green"", ""category"": ""classification""}","Definition: In this task, determine if each vegetable listed is green or not. For each vegetable, classify it as ""green,"" ""not green,"" or ""may be green"" based on typical color variations. Emphasis & Caution: - Things to avoid: Avoid adding explanations or extra details about color variations outside the specified terms (""green,"" ""not green,"" or ""may be green"").","Classify each vegetable by color as ""green,"" ""not green,"" or ""may be green.""",Commonsense Classification,"As a classification worker, I want to identify if each vegetable is green, so that I can help categorize vegetables by color."
"{""instruction"": ""Categorize these paint colours as “primary”, “secondary”, and “tertiary” according to the Quiller color wheel.\n\nCadmium Yellow Light, Permanent Green Light, Viridian Green, Green Blue, Phthalocyanine Blue, Ultramarine Blue, Ultramarine Violet, Magenta, Permanent Rose, Cadmium Red, Cadmium Scarlet, Cadmium Orange"", ""context"": """", ""response"": ""Primary: Cadmium Yellow Light, Phthalocyanine Blue, Permanent Rose\nSecondary: Viridian Green, Ultramarine Violet, Cadmium Scarlet\nTertiary: Permanent Green Light, Green Blue, Ultramarine Blue, Magenta, Cadmium Red, Cadmium Orange"", ""category"": ""classification""}","Definition: In this task, classify each paint color as “primary,” “secondary,” or “tertiary” according to the Quiller color wheel. Emphasis & Caution: - Things to avoid: Avoid adding extra explanations or using terms other than “primary,” “secondary,” or “tertiary.”",Classify each paint color by type based on the Quiller color wheel.,Commonsense Classification,"As a classification worker, I want to categorize paint colors by type, so that I can help organize colors according to the Quiller color wheel."
"{""instruction"": ""Tell me whether each food is from a grain or animal: quinoa, millet, couscous, ribeye steak, pork belly, chicken wing"", ""context"": """", ""response"": ""Quinoa: Grain\nMillet: Grain\nCouscous: Grain\nRibeye Steak: Animal\nPork Belly: Animal\nChicken Wing: Animal"", ""category"": ""classification""}","Definition: In this task, identify whether each listed food item is derived from a grain or an animal. Emphasis & Caution: - Things to avoid: Avoid providing additional details beyond labeling each item as ""Grain"" or ""Animal.""","Classify each food item as either ""Grain"" or ""Animal.""",Commonsense Classification,"As a classification worker, I want to categorize foods by their source, so that I can help distinguish between grain-based and animal-derived foods."
"{""instruction"": ""Would you typically find each of the following items in a bathroom, bedroom, kitchen or living room? Couch, pillow, dish soap, bedside table, oven, shower, toilet, coffee table, coffee machine"", ""context"": """", ""response"": ""Couch: living room, pillow: bedroom, dish soap: kitchen, bedside table: bedroom, oven: kitchen, shower: bathroom, toilet: bathroom, coffee table: living room, coffee machine: kitchen"", ""category"": ""classification""}","Definition: In this task, determine the typical location for each item listed by classifying it as found in either a bathroom, bedroom, kitchen, or living room. Emphasis & Caution: - Things to avoid: -",Classify each item by the room it is typically found in.,Commonsense Classification,"As a classification worker, I want to identify the usual location for common household items to help categorize them by room."
"{""instruction"": ""Which of the following Countries are on the African Continent: Nigeria, Ethiopia, Egypt, Tanzania, Kenya, United Kingdom, Belgium, France, Germany, Russia, Afghanistan, Iraq, Brazil, Columbia."", ""context"": """", ""response"": ""Of the Countries you listed, Nigeria, Ethiopia, Egypt, Tanzania, and Kenya are on the African continent. \n\nFor reference: \n\nUnited Kingdom, Belgium, France, Germany, Russia are on the European continent\n\nAfghanistan and Iraq are on the Asian continent\n\nBrazil and Columbia are on the South American continent"", ""category"": ""classification""}","Definition: In this task, identify which of the listed countries are located on the African continent. Emphasis & Caution: - Things to avoid: Avoid listing additional continents or providing extra geographic details beyond the African continent.",Classify each country by whether it is located on the African continent.,Commonsense Classification,"As a classification worker, I want to identify which countries are on the African continent to help accurately categorize geographic locations."
"{""instruction"": ""Categorize each of the following as being beneficial or not beneficial to making a home protected from burglars: alarm system, open doors, locks, cameras, open windows"", ""context"": """", ""response"": ""Alarm System: Beneficial\nOpen Doors: Not Beneficial\nLocks: Beneficial\nCameras: Beneficial\nOpen Windows: Not Beneficial"", ""category"": ""classification""}","Definition: In this task, determine whether each listed item is beneficial or not beneficial for protecting a home from burglars. Emphasis & Caution: - Things to avoid: Avoid providing extra details or explanations beyond labeling each item as ""Beneficial"" or ""Not Beneficial.""",Classify each item by whether it benefits home security.,Commonsense Classification,"As a classification worker, I want to identify items that are beneficial for home security, so that I can help categorize them by their usefulness in preventing burglaries."
"{""instruction"": ""Which is a bird or fish: Black-necked grebe, Black tetra"", ""context"": """", ""response"": ""Black tetra is a fish, Black-necked grebe is a bird"", ""category"": ""classification""}","Definition: In this task, identify whether each listed animal is a bird or a fish. Emphasis & Caution: - Things to avoid: Avoid providing additional information beyond labeling each animal as ""bird"" or ""fish.""",Classify each animal as either a bird or a fish.,Commonsense Classification,"As a classification worker, I want to identify whether each animal is a bird or a fish, so that I can help categorize animals by type."
"{""instruction"": ""Identify which car manufacturer is German or American: Artega, Brammo, Vaydor"", ""context"": """", ""response"": ""Brammo and Vaydor are American, Artega is German"", ""category"": ""classification""}","Definition: In this task, identify whether each car manufacturer listed is German or American. Emphasis & Caution: - Things to avoid: Avoid providing additional information beyond labeling each manufacturer as ""German"" or ""American.""",Classify each car manufacturer as German or American.,Commonsense Classification,"As a classification worker, I want to identify whether each car manufacturer is German or American, so that I can help categorize manufacturers by country of origin."
"{""instruction"": ""tell me whether these are synonyms or antonyms of love: dislike, care, like, hate, affection, harsh"", ""context"": """", ""response"": ""Synonyms: care, like, affection\nAntonyms: dislike, hate, harsh"", ""category"": ""classification""}","Definition: In this task, determine whether each listed word is a synonym or antonym of ""love."" Emphasis & Caution: - Things to avoid: Avoid providing extra details or explanations beyond labeling each word as ""Synonym"" or ""Antonym.""","Classify each word as a synonym or antonym of ""love.""",Word Relation Classification,"As a classification worker, I want to identify whether each word is a synonym or antonym of ""love,"" so that I can help categorize words by their relationship to the concept of love."
"{""instruction"": ""Which films contain Tom Cruise and which do not contain Tom Cruise: \""Trading Places\"", \""Risky Business\"", \""The Hunt for Red October\"", \""Top Gun\"", \""The Hangover\"", \""Born on the 4th of July\"", \""Saving Private Ryan\"", and \""Reds\"""", ""context"": """", ""response"": ""The films which contain Tom Cruise are: \""Risky Business\"", \""Top Gun\"", and \""Born on the 4th of July.\"" The films which do not contain Tom Cruise are: \""Trading Places\"", \""The Hunt for Red October\"",\""The Hangover\"", \""Saving Private Ryan\"", and \""Reds.\"""", ""category"": ""classification""}","Definition: In this task, identify whether each listed film features Tom Cruise or does not feature Tom Cruise. Emphasis & Caution: - Things to avoid: Avoid adding extra details or commentary about the films beyond indicating whether Tom Cruise appears in them.",Classify each film by whether or not it features Tom Cruise.,Commonsense Classification,"As a classification worker, I want to identify which films feature Tom Cruise, so that I can help categorize movies by cast members."
"{""instruction"": ""Identify the bird from the list: Queensbury, Kingfisher, Bishopsgate"", ""context"": """", ""response"": ""Kingfisher"", ""category"": ""classification""}","Definition: In this task, identify which item in the list is a type of bird. Emphasis & Caution: - Things to avoid: Avoid adding additional information or explanations beyond identifying the bird.",Identify the item that is a bird.,Commonsense Classification,"As a classification worker, I want to identify which item in the list is a bird to help categorize entities by type."
"{""instruction"": ""Classify each of the following as either typical indoor or outdoor sports: Chess, Carrom, Cricket, Billiards, Table Tennis, Field Hockey, Rugby, Snooker, Soccer and Boxing"", ""context"": """", ""response"": ""Chess - Indoor\nCarrom - Indoor \nCricket - Outdoor \nBilliards -  Indoor \nTable Tennis - Indoor \nField Hockey - Outdoor \nRugby - Outdoor \nSnooker - Indoor \nSoccer - Outdoor \nBoxing - Indoor"", ""category"": ""classification""}","Definition: In this task, classify each listed sport as typically an indoor or outdoor activity. Emphasis & Caution: - Things to avoid: Avoid providing additional descriptions or details beyond labeling each sport as ""Indoor"" or ""Outdoor.""",Classify each sport as either indoor or outdoor.,Commonsense Classification,"As a classification worker, I want to identify whether each sport is typically played indoors or outdoors, so that I can help categorize sports by venue type."
"{""instruction"": ""Classify each of the following as a city or country: Bangkok, India, London, Mexico."", ""context"": """", ""response"": ""Bangkok - City, India - Country, London- City, Mexico- Country"", ""category"": ""classification""}","Definition: In this task, classify each listed name as either a city or a country. Emphasis & Caution: - Things to avoid: Avoid providing additional information beyond labeling each as ""City"" or ""Country.""",Classify each item as a city or country.,Commonsense Classification,"As a classification worker, I want to identify whether each listed name is a city or a country, so that I can help categorize geographic locations accurately."
"{""instruction"": ""Tell me whether these are names of movie directors or authors: Quentin Tarantino, Martin Scorsese, Christopher Nolan, Ernest Hemingway, Stephen King, J.K. Rowling"", ""context"": """", ""response"": ""Quentin Tarantino is an American film director known for directing Pulp Fiction, Inglorious Basterds and Kill Bill.\nMartin Scorsese is an American film director known for directing Goodfellas, Taxi Driver and The Wolf of Wall Street.\nChristopher Nolan is a British-American film director known for directing The Dark Knight, Inception and Interstellar.\nErnest Hemingway is an American author known best known for writing For Whom the Bell Tolls and The Old Man and the Sea.\nStephen King is an American author known for writing It, The Shining and Misery.\nJ.K. Rowling is a British author known for writing the Harry Potter fantasy series."", ""category"": ""classification""}","Definition: In this task, classify each listed person as either a movie director or an author. Emphasis & Caution: - Things to avoid: Avoid providing biographical details or listing works; only identify each person as ""Director"" or ""Author.""",Classify each person as either a director or an author.,Commonsense Classification,"As a classification worker, I want to identify whether each person is a movie director or author, so that I can help categorize individuals by profession."
"{""instruction"": ""Identify which animal species is alive or extinct: Spinosaurus, Common Bottlenose Dolphin"", ""context"": """", ""response"": ""Common Bottlenose Dolphin is alive, Spinosaurus is extinct."", ""category"": ""classification""}","Definition: In this task, identify whether each listed animal species is currently alive or extinct. Emphasis & Caution: - Things to avoid: Avoid adding additional information or descriptions beyond labeling each species as ""Alive"" or ""Extinct.""",Classify each species as either alive or extinct.,Commonsense Classification,"As a classification worker, I want to identify whether each animal species is alive or extinct, so that I can help categorize species by their existence status."
